Id,Endereço,name,broker,Fotografo,valor,Fornecedor,servicos,Complemento,Data Faturamento,Data prevista,Hora Prevista,Acompanhamento,Status,Link Imagens,Área comum
47277,"Av. Sete de Setembro, 3666 Batel Curitiba PR",OROS ADMINISTRADORA DE PARTICIPAÇÕES SOCIETÁRIAS LTDA,Oros Imobiliaria LTDA,Isaias Schneider,95,35,Fotografia Profissional,,,2025-12-03,09:15:00,1,7,https://www.dropbox.com/scl/fo/k5chx5fo7b1cbzq8sfdit/ACwQ6eQs8d-ctp1CxbZbjzk?rlkey=v7rpx4bknf7ynr30pvht3266b&dl=0,https://www.dropbox.com/sh/dvcb4vhlv421vou/AADoUm63qriXkpmuZqUWe0wPa?dl=0
47160,"R. Prof. Macedo Filho, 362 Bom Retiro Curitiba PR",7 IMOVEIS ASSESSORIA IMOBILIARIA LTDA,Williana Pedroso,Isaias Schneider,95,35,Fotografia Profissional,,,2025-12-03,10:30:00,,7,https://www.dropbox.com/scl/fo/5mknl92ui03sf6l65t075/AFXQ7cTc0uq9kL1RdXcY6tU?rlkey=e9sv9eon51h0c8a12szqybdrh&dl=0,
47430,"Rua Gottlieb Rosenau, 268 Tarumã Curitiba PR",IMOBILIARIA CONFIANZA LTDA,Keila Louro,Isaias Schneider,110,50,"Fotografia Profissional,Retirar Chaves na Imobiliária",,,2025-12-03,11:45:00,,7,https://www.dropbox.com/scl/fo/vfw75uef506jjashs0h1q/AD-fFaykeGWmkUTybQpRq1k?rlkey=6kqazaauk3hd879o12qy35sby&dl=0,https://www.dropbox.com/scl/fo/fyc1zsijx1lno4ztlle0c/h?rlkey=cjphhgkqc1s89lujkqkp1msd7&dl=0
47381,"R. Voluntários da Pátria, 255 Centro Curitiba PR",Juliana Ferreira de Melo,Juliana Ferreira de Melo,Isaias Schneider,79,35,Fotografia Profissional,,,2025-12-03,13:00:00,,7,https://www.dropbox.com/scl/fo/ubek2kv31z12e75ys5ywz/AGwEl5OSOXG-GtkIQ-6a44Y?rlkey=l5th0cfxzfpgmbin5ruu87snf&dl=0,https://www.dropbox.com/scl/fo/51qzbfx22ytcsgsze5ubw/h?dl=0&rlkey=znn1gcsqickobtwtapivjimxo
47310,"R. Aparecida Júlia dos Santos Ribeiro, 30 Atuba Colombo PR",GOMES CONSULTOR IMOBILIARIO LTDA,GOMES CONSULTOR IMOBILIARIO LTDA,Isaias Schneider,158,70,Fotografia Profissional,,,2025-12-03,14:15:00,1,7,https://www.dropbox.com/scl/fo/ejyi3enlwjygnuqlldcx5/ABCcVueSbvUihGa2mIdAFLU?rlkey=n2qf5lj03qy5gml2878irix38&dl=0,
47176,"Av. Iguaçu, 399 Rebouças Curitiba PR",Assessoria Imobiliária Hauer,Assessoria Imobiliária Hauer,Isaias Schneider,79,35,Fotografia Profissional,,,2025-12-03,15:30:00,,7,https://www.dropbox.com/scl/fo/1sn9gxe2psd4hgzpoz18y/AFd5GZ-2lLg5hIVeUVzje3k?rlkey=0137369qp8d2e0ox1kivwlsrw&dl=0,https://www.dropbox.com/sh/63ikqu75rbis95y/AAAGhDMhuUw-pE0G6XQf6xepa?dl=0
47452,"R. Dep. Mário de Barros, 1700 Juvevê Curitiba PR",SALLVI ADMINISTRACAO E INTERMEDIACAO DE IMOVEIS LTDA,Wesley Leviski Bueno,Isaias Schneider,110,50,"Fotografia Profissional,Retirar Chaves na Imobiliária",,,2025-12-03,16:45:00,,1,https://www.dropbox.com/scl/fo/pa2tggjjb6as83et6sjo1/AB0okluHv948YOkIT3g5anU?rlkey=uk12hlw0iq9mdc729wz9b8pk8&dl=0,
