"id";"id_servico";"id_tipo_servico";"id_status";"quantidade";"valor";"valor_fornecedor";"excluido";"data_atualizacao"
"56297";"24012";"6";"2";"1";"95,00";"29,00";\N;\N
"56298";"24011";"15";\N;"1";"450,00";"80,00";\N;\N
"56299";"24013";"6";"2";"1";"95,00";"33,00";\N;\N
"56301";"24015";"6";"2";"1";"95,00";"33,00";\N;\N
"56302";"24015";"7";"2";"2";"118,00";"34,00";\N;\N
"56304";"24017";"6";"2";"1";"95,00";"29,00";\N;\N
"56307";"24019";"6";"2";"1";"95,00";"35,00";\N;\N
"56308";"24020";"7";"2";"1";"59,00";"17,00";\N;\N
"56309";"24020";"8";"2";"1";"160,00";"33,00";\N;\N
"56310";"24021";"6";"2";"1";"95,00";"32,00";\N;\N
"56311";"24021";"7";"2";"1";"59,00";"17,00";\N;\N
"56313";"24023";"6";"2";"1";"95,00";"35,00";\N;\N
"56319";"24026";"8";"2";"1";"160,00";"35,00";\N;\N
"56320";"24025";"6";\N;"1";"95,00";"33,00";\N;\N
"56321";"24025";"7";\N;"1";"59,00";"17,00";\N;\N
"56322";"24027";"6";"2";"1";"95,00";"29,00";\N;\N
"56323";"24028";"6";"2";"1";"95,00";"35,00";\N;\N
"56324";"24028";"10";"2";"1";"15,00";"15,00";\N;\N
"56325";"23935";"6";"2";"1";"95,00";"34,00";\N;"2024-08-07 19:30:57"
"56326";"23935";"9";"2";"1";"40,00";"40,00";\N;"2024-08-07 19:30:57"
"56327";"23993";"6";\N;"1";"95,00";"35,00";\N;\N
"56328";"24029";"6";"2";"1";"95,00";"35,00";\N;\N
"56331";"24030";"6";"2";"1";"95,00";"35,00";\N;\N
"56333";"24032";"6";"2";"1";"95,00";"33,00";\N;\N
"56335";"24034";"6";"2";"1";"95,00";"35,00";\N;\N
"56336";"24034";"9";"2";"1";"40,00";"40,00";\N;\N
"56337";"24035";"6";"2";"1";"0,00";"0,00";\N;\N
"56338";"24036";"6";"2";"1";"95,00";"29,00";\N;\N
"56339";"24036";"7";"2";"1";"59,00";"17,00";\N;\N
"56340";"24037";"6";"2";"1";"95,00";"35,00";\N;\N
"56341";"24037";"10";"2";"1";"15,00";"15,00";\N;\N
"56342";"24038";"6";"2";"1";"95,00";"29,00";\N;\N
"56343";"24039";"6";"2";"1";"95,00";"33,00";\N;\N
"56344";"24040";"6";"2";"1";"95,00";"29,00";\N;\N
"56345";"24041";"6";"2";"1";"95,00";"29,00";\N;\N
"56346";"24042";"6";"2";"1";"95,00";"33,00";\N;\N
"56347";"24042";"7";"2";"1";"59,00";"17,00";\N;\N
"56348";"24043";"6";"2";"1";"95,00";"33,00";\N;\N
"56350";"24044";"6";"2";"1";"95,00";"34,00";\N;\N
